comments,date,translated_comments,cleaned_comments
Balik ka pinas,11/19/2025,Go back to the Philippines,go back philippine
Saludo sau idol tama yang ginawa mo..,11/19/2025,"Salute to the idol, you did the right thing..",salute idol right thing
..Uli Dre Kol mura man sad ka c roque,11/19/2025,..NO Kol you're like Roque,kol youre like roque
sasabihin nman ni sotto at ante Claire ai,11/19/2025,sotto and ante Claire will say that,sotto ante claire say
"Boss wala pa bang bagong update...? Sinungaling ka daw sabi ni ping, baka may resibo ka dyan kung sino talaga ang nag deliver ng pera kay bbm.",11/23/2025,"Boss is there no new update yet...? Ping said you are a liar, maybe you have a receipt there that shows who actually delivered the money to bbm.",bos new update yet ping said liar maybe receipt show actually delivered money bbm
"tama yan cong., stay safe para masiwalat lahat ng kasakiman ni BBM at Romualdez",11/19/2025,"I'm sorry., stay safe to flirt all the greed of BBM and Romaldez's greed.",im sorry stay safe flirt greed bbm romaldezs greed
mag live ka next cong sa part 4,11/19/2025,go live next cong in part 4,go live next cong part 4
Sa Kung may alam Po kayo sa mga panunuhal sa ating mga general ilabas nyo na din,11/19/2025,"If you know anything about the accusations against our generals, please bring them out",know anything accusation general please bring
Hoy umowi ka rito kung saan kaman nag tatago harapin mo ang binibintang sayo...,11/19/2025,"Hey, come home to wherever you are hiding and face what you are accused of...",hey come home wherever hiding face accused
KAYA DAPAT CONG Rep. Zaldy Co ISIWALAT NIYO NA PO LAHAT NG EBIDENSIYA N MERON PO KAYO KASI SI OMBUDSMAN KINASUHAN NA PO KAYO NO BAIL PA SAMANTALANG YONG MGA IKINANTA NIYO MALAYANG MALAYA PA AT IBA PANG MGA ASO NI BBM AT ROMUALDEZ SIGURADO PO MAY MGA NAGHAHANAP NA SA INYO NGAYONBPARA PABALIKIN SA PILIPINAS,11/19/2025,"SO SHOULD CONG Rep. Zaldy Co, PLEASE DISCLOSE ALL THE EVIDENCE YOU HAVE BECAUSE THE OMBUDSMAN HAS ALREADY SUED YOU, WHILE YOUR SINGERS ARE FREE AND THE OTHER DOGS OF BBM AND ROMUALDEZ ARE SURE SOMEONE IS LOOKING FOR YOU NOW TO BRING BACK TO THE PHILIPPINES",cong rep zaldy co please disclose evidence ombudsman already sued singer free dog bbm romualdez sure someone looking bring back philippine
Damihan mo ng resibo!!!,11/19/2025,Get more receipts!!!,get receipt
Elapit Po sa dios Ang genagawa nela..ingat kau sir,11/19/2025,It's close to god what she did.. be careful sir,close god careful sir
Hello sir maglabas ka ulit Nang ebedinsya na mag Didiin sa kanya,11/20/2025,Hello sir come out again Nang evidinsya to press on him,hello sir come nang evidinsya press
Ehh sinabi mo sana kumuha ka ng kaunti. sabi mo. Wala ka nakuha kahit isang kusing..,11/19/2025,"Ehh, you said you should take some. you said You didn't get even one kusing..",ehh said take said didnt get even one kusing
Salamat po sa pagsiwalat sa katotohanan sir we salute you may puso ka Mabuhay ka sir Zaldy Co,11/19/2025,"Thank you for revealing the truth, sir, we salute you, you have a heart. Long live, sir Zaldy Co",thank revealing truth sir salute heart long live sir zaldy co
Pati sana yong about kay FPRD,11/19/2025,I hope it's also about FPRD,hope also fprd
"Ikanta niyo na po lahat ng nalalaman niyo ,wag niyo na po patagalin",11/19/2025,"Sing everything you know, don't delay",sing everything know dont delay
Sabe ni ante claire binayaran daw ng duterte,11/19/2025,Ante Claire said it was paid by Duterte,ante claire said paid duterte
Agay,11/19/2025,flow,flow
Kahit paano... Nabawasan Ng konting tinik sa lalamunan ang taong bayan. Total ginawa mo na iyan Rep. Zaldy Co. Ituloy tuloy mo na iyan. Maraming Filipino ang nakasubaybay Sayo maging Ang ibang lahi. Wag mo kami Biguin,11/19/2025,"No matter how... The little thorn in the throat of the townsman was reduced. You totally did that Rep. Zaldy Co. Keep going with that. Many Filipinos have followed you, even those of other races. Don't let us down",matter little thorn throat townsman reduced totally rep zaldy co keep going many filipino followed even race dont let u
"Dipa huli Ang LAHAT sir ,ibunyag nyo na LAHAT mga sindikato Ng governo",11/19/2025,"Late ALL, sir, reveal that ALL are syndicates of the government",late sir reveal syndicate government
umuwi kakase bat tago ka ng tago wahahaha,11/19/2025,go home because you're hiding a secret wahahaha,go home youre hiding secret wahahaha
wag kana umuwi co.ikanta muna lahat pati pag kidnap kay prrd,11/19/2025,don't go home co. sing everything first even when kidnapping prrd,dont go home co sing everything first even kidnapping prrd
May tatlong magkaibigan. … See more,11/19/2025,There are three friends. … See more,three friend see
"Sabhin mo na po lahat lahat, kong sino mastermind kahit alam n ng lhat ! Iba pa din yong sa bibig mo n po nanggaling parA matapos n ang lahat.!",11/19/2025,"Tell everyone, I know who is the mastermind even though everyone knows! Something else came out of your mouth after everything was over.!",tell everyone know mastermind even though everyone know something else came mouth everything
Tama yang ginawa niyo po godbless and fight2x keep safe po sir....,11/19/2025,"You did the right thing, godbless and fight2x keep safe sir....",right thing godbless fight2x keep safe sir
Verygood ka Jan zaldy co double ingat kalang at mga demonyo mga kalaban mo ngayun,11/19/2025,"You are very good, Jan Zaldy, double beware, demons are your enemies",good jan zaldy double beware demon enemy
dapat sunugin kayong lahat,11/19/2025,you should all be burned,burned
"Kahit anong gawin nyong paninira sa Pamilya Marcos, sila pa rin ang susuportahan namin.",11/19/2025,"No matter what you do to destroy the Marcos Family, we will still support them.",matter destroy marcos family still support
May tatlong magkaibigan.,11/19/2025,There are three friends.,three friend
"Wag ka po muna umuwi take care, mabait naman si vp sarah pag naging president sya maintindihan ka nya at kaming mga taong bayan para sa katutuhanan yun lang ang gusto namin mga pilipino ang katutuhanan, panindigan nyo lang po mga sinasabi nyo, kay salute po kami sayo at nagsalita kana. Alam naman namin na di ka kikilos kung walang nag uutos sayo na mas mataas",11/19/2025,"Don't go home and take care, vp sarah was kind when he became president, he and we the people of the country understand you for the truth, that's all we Filipinos want is the truth, just stand by what you say, because we salute you and said that. We know that you will not act if no one orders you higher",dont go home take care vp sarah kind became president people country understand truth thats filipino want truth stand say salute said know act one order higher
Pabalik balik parang sirang plaka,11/19/2025,Back and forth like a broken plate,back forth like broken plate
Ilabas nyo n po lht pra d n po nila kau patahimikin ng tuluyan. Bka mg hire n cla ng killer pra d lumabas ang totoo.,11/19/2025,Take it out so they can silence you forever. They hired a killer so the truth wouldn't come out.,take silence forever hired killer truth wouldnt come
Mas credible kung live or sa senate hearing,11/25/2025,More credible if live or in the senate hearing,credible live senate hearing
Tama Yan. Gabayan ka sana Ng panginoon kung nasaan kaman Ngayon. Siguro Hina hunting kana ngayon,11/20/2025,That's right. May the Lord guide you wherever you are Now. Maybe Hina is hunting now,thats right may lord guide wherever maybe hina hunting
Wag kang uuwi muna Baka mapalitan agad name Ng Airport.,11/19/2025,Don't go home yet because the name of the airport will be changed immediately.,dont go home yet name airport changed immediately
"It will not stand in Court, the mere picture of luggages",11/19/2025,"It will not stand in Court, the mere picture of luggages",stand court mere picture luggage
Friends become your enemy when you flip over the table...,11/19/2025,Friends become your enemy when you flip over the table...,friend become enemy flip table
Kahit cno malagay sa katayuan ni saldy co Ganon Ang last option.dahil ggawin cya Ng sakripisyal pra hnggat maarinmaitago lahat .KC Kong Hindi nya nsabi walang pnghhawakan Ang higit na maraming pilipino ngmmahal sa inang bayan.binoto cla pra mgtrbho pra sa mga pilipino pero cla rin Ang umaapi sa mhihirap dahil naapiktuhan Ng mga pagbaha.,11/19/2025,"Even if you are in Saldy's position, that is the last option. Because it will be done sacrificially until everything is hidden. KC If he doesn't say that there is nothing to hold the more Filipinos who love their motherland. They voted cla for mgtrbho for the Filipinos but also cla for oppressing the poor because they were affected by the floods.",even saldys position last option done sacrificially everything hidden kc doesnt say nothing hold filipino love motherland voted cla mgtrbho filipino also cla oppressing poor affected flood
Umuwe ka pare pareho lang nman kayo Cong uwe ka wag maging duwag Sabi nga nila Nung ninanakaw mo ang Pera ng bayan maligaya ka Masaya at mayabang Ngayon mandamay ka?,11/19/2025,"You're all the same, don't be a coward, they say. When you stole the people's money, you were happy. Happy and proud. Now you feel sorry for me?",youre dont coward say stole people money happy happy proud feel sorry
"Pumunta ka ng embassy and give an affidavit under oath. Or better yet, come back here sa Pilipinas and make a statement under oath. Lumapit ka sa matitinong public servamt like Atty Chel Diokno kung totoong may malasakit ka pang natitira pagkatapos mo mangulimbat.",11/19/2025,"Go to the embassy and give an affidavit under oath. Or better yet, come back here to the Philippines and make a statement under oath. Go to a sensible public servant like Atty Chel Diokno if you really have any care left after you've gone to bed.",go embassy give affidavit oath better yet come back philippine make statement oath go sensible public servant like atty chel diokno really care left youve gone bed
Cong Zaldy ibulgar din sino nagbabayad sa pagpapakidnap kay FPRRD maraming nag aabang,11/19/2025,"Cong Zaldy will also reveal who is paying for the kidnapping of FPRRD, many are waiting",cong zaldy also reveal paying kidnapping fprrd many waiting
protektahan nyo sya,11/19/2025,protect him,protect
Fight lng po Cong zaldy,11/25/2025,Just fight Cong Zaldy,fight cong zaldy
Ilabas mo na lahat bago ka nila mapatay.,11/19/2025,Take them all out before they kill you.,take kill
pangalanan mo mga congressman boss,11/20/2025,name the congressman bosses,name congressman boss
Ibalik mo ninakaw mo wala paliwanagan ng ninakaw muba nag paliwanag ka,11/19/2025,"Give it back, you stole it, the stolen one has no explanation, but you explained it",give back stole stolen one explanation explained
Do it live with credible evidences under oath to make your testimonies believevable.,11/25/2025,Do it live with credible evidences under oath to make your testimonies believevable.,live credible evidence oath make testimony believevable
Mhie Cabatbat mars meron. A,11/19/2025,Mhie Cabatbat mars there is. A,mhie cabatbat mar
Sana ikanta mo na lahat ng matapos na paghihirap ng mga pilipino….,11/19/2025,I hope you will sing about all the sufferings of the Filipinos....,hope sing suffering filipino
"#pilipinas| Nagbitiw sa puwesto sina Executive Secretary Lucas Bersamin at DBM Sec. Amenah Pangandaman. Ayon sa Malacañang, tinanggap ng pangulo ang resignation ng dalawang opisyal. Ang dahilan daw ng pagbibitiw ay dahil sa delizadeza.",11/19/2025,"#philippines| Executive Secretary Lucas Bersamin and DBM Sec. Amenah Pangdanman. According to Malacañang, the president accepted the resignation of the two officials. The reason for the resignation is said to be because of Delizadeza.",philippine executive secretary lucas bersamin dbm sec amenah pangdanman according malacañang president accepted resignation two official reason resignation said delizadeza
"Wag kang bumalik, pero wag Ka ring manahimik !",11/19/2025,"Don't go back, but don't be silent either!",dont go back dont silent either
grabe ang laki ng s.o.p. pandagdag na rin sana sa gagawing projects..,11/19/2025,the size of the s.o.p. I hope it will be a supplement to the projects to be done..,size sop hope supplement project done
Ilabas mo na LAHAT para Malaman na Ng taong bayan,11/20/2025,Bring it all out so the people know,bring people know
wala na pong karugtong ?,11/21/2025,no sequel anymore?,sequel anymore
".sec mina pangandaman is the key,.. nag resign na eih..buhat lumabas Yung video na to,..siya nalang susi...hehe",11/19/2025,".sec I'm feeling the right is the key,",sec im feeling right key
Cong kinasuhan ka na ilabas mo na ang lahat bago ka nila mapauwi..,11/19/2025,They charged you to get everything out before they send you home..,charged get everything send home
"If everything you said is true, May God Bless You!",11/19/2025,"If everything you said is true, May God Bless You!",everything said true may god bless
e labas lahat ng nalalaman mo.,11/19/2025,everything you know is out there.,everything know
"Tama rin po ang Sinasabi ni Sen. Marcoleta na hindi AI ang video po ni Zaldy Co,dahil merong pong anino na makikita sa video po nya,ang AI wala pong anino..!",11/19/2025,"Sen. is also right. Marcoleta that Zaldy Co's video is not AI, because there is a shadow that can be seen in his video, the AI ​​has no shadow..!",sen also right marcoleta zaldy co video ai shadow seen video ai shadow
"Anong safe ang sinasabi ng iba dito, paano cya magiging safe sa loob ng kulungan kung mismong tauhan ng DILG, PNP at Ombudsman pabor sa kalaban niya? Saan nila nilalagay utak nila sa talampakan ata...mautak din c Zaldy Co hindi katulad ninyo utak pera.",11/25/2025,"How safe are others saying here, how will he be safe inside the jail if the DILG, PNP and Ombudsman personnel are in favor of his opponent? Where do they put their brains in the soles of the feet... brains too c Zaldy Co unlike you money brains.",safe others saying safe inside jail dilg pnp ombudsman personnel favor opponent put brain sol foot brain c zaldy co unlike money brain
Waiting po sa next video at update,11/24/2025,Waiting for the next video and update,waiting next video update
Godbless po,11/19/2025,Godbless po,godbless po
Kawawa klang khit tutuo cnasabi m.kaw p ngaun nabaliktad nagiging cnungaling.mabigat binabangga mo.,11/19/2025,"I'm sorry, even if you believe what I'm saying. You've turned around and become a liar. You're hitting hard.",im sorry even believe im saying youve turned around become liar youre hitting hard
Ilabas nio na po ang mga ibidinsya,11/19/2025,Bring out the ibidinis,bring ibidinis
Salamat boss.. Alam kung mabigat yan pero mas pinili mong itama ang pagkakamali mo mabuti po yan. Pagpalain ka nawa ng Dios.,11/19/2025,"Thank you boss.. I know it's heavy but you chose to correct your mistake, that's good. May God bless you.",thank bos know heavy chose correct mistake thats good may god bless
Ilabas mo na nagsalita na c imee,11/20/2025,Take out that spoke c imee,take spoke c imee
Cong wala pa bagu ung tlagang pang diin,11/20/2025,There is nothing new about the emphasis,nothing new emphasis
Be strong Rep. Naghihintay ang buong Pilipinas...,11/19/2025,Be strong Rep. The whole Philippines is waiting...,strong rep whole philippine waiting
Sir Zaldy Co elaglag mo lahat ang nanalaman Kay BBM Marcos at Marten pra makulong cla dalawa o bumaba sa Malacañang c BBM at umalis na saka naka uuwe deto sa Pinas mas sefty ka pagwala na cla dalawa sa pwesto,11/19/2025,"Sir Zaldy Co, drop everything you found out about BBM Marcos and Marten so that the two of them go to jail or go down to Malacañang with BBM and then leave to go home to the Philippines, you are safer if you lose the two of them from the position",sir zaldy co drop everything found bbm marcos marten two go jail go malacañang bbm leave go home philippine safer lose two position
mag live video ka kaya sir para matahimik na c Anteh kler baka sabihin nyang AI lang ito... pls maawa kayo sa bayan.. at pls. paki bunyag na din sino ang utak sa pag dala kay Tatay Digong sa the hague.,11/19/2025,"Can you do a live video, sir, to keep things calm c Anteh kler, maybe he will say it's just AI... pls have mercy on the people.. and pls. Please also reveal who is the mastermind behind bringing Father Digong to the Hague.",live video sir keep thing calm c anteh kler maybe say ai pls mercy people pls please also reveal mastermind behind bringing father digong hague
Pray pa Rin namin kayo pero dapat harapin Po ninyo kung Ani Ang dapat gawin. God bless Po sa inyo palagi,11/19/2025,"We are still praying for you, but you must face what to do. God bless you always",still praying must face god bless always
Naisaha ka sa mga boss mo..just pray to God ask forgiveness ang protection.,11/19/2025,You got involved with your bosses..just pray to God ask forgiveness for protection.,got involved bossesjust pray god ask forgiveness protection
Ibulgar mo rin sino mga general na binayaran niyo,11/19/2025,Also publicize who are the generals you paid,also publicize general paid
Next na cong,11/20/2025,Next na cong,next na cong
Siraulo,11/19/2025,crazy,crazy
1.1m views in just 2 hours.. naks,11/19/2025,1.1m views in just 2 hours.. naks,11m view 2 hour naks
"𝐋𝐚𝐠𝐢 𝐩𝐨 𝐤𝐚𝐲𝐨𝐧𝐠 𝐦𝐚𝐠 𝐢𝐧𝐠𝐚𝐭 , 𝐦𝐚𝐠𝐝𝐚𝐬𝐚𝐥 𝐩𝐨 𝐤𝐚𝐲𝐨 𝐚𝐭 𝐡𝐮𝐦𝐢𝐧𝐠𝐢 𝐧𝐠 𝐩𝐚𝐭𝐚𝐰𝐚𝐝 𝐬𝐚 𝐏𝐀𝐍𝐆𝐈𝐍𝐎𝐎𝐍 𝐚𝐭 𝐡𝐮𝐦𝐢𝐧𝐠𝐢 𝐧𝐠 𝐩𝐫𝐨𝐭𝐞𝐜𝐭𝐢𝐨𝐧 𝐬𝐚 𝐏𝐀𝐍𝐆𝐈𝐍𝐎𝐎𝐍 𝐢𝐢𝐧𝐠𝐚𝐭𝐚𝐧 𝐤𝐚 𝐧𝐢𝐲𝐚 𝐝𝐚𝐡𝐢𝐥 𝐤𝐚𝐢𝐥𝐚𝐧𝐠𝐚𝐧 𝐤𝐚 𝐧𝐠 𝐦𝐠𝐚 𝐏𝐢𝐥𝐢𝐩𝐢𝐧𝐨 𝐩𝐚𝐫𝐚 𝐦𝐚𝐢𝐬𝐢𝐰𝐚𝐥𝐚𝐭 𝐥𝐚𝐡𝐚𝐭",11/19/2025,"𝐋𝐚𝐠𝐢 𝐩𝐨 𝐤𝐚𝐲𝐨𝐧𝐠 𝐦𝐚𝐠 𝐢𝐧𝐠𝐚𝐭 , 𝐦𝐚𝐠𝐝𝐚𝐬𝐚𝐥 𝐩𝐨 𝐤𝐚𝐲𝐨 𝐚𝐭 𝐡𝐮𝐦𝐢𝐧𝐠𝐢 𝐧𝐠 𝐩𝐚𝐭𝐚𝐰𝐚𝐝 𝐬𝐚 𝐏𝐀𝐍𝐆𝐈𝐍𝐎𝐎𝐍 𝐚𝐭 𝐡𝐮𝐦𝐢𝐧𝐠𝐢 𝐧𝐠 𝐩𝐫𝐨𝐭𝐞𝐜𝐭𝐢𝐨𝐧 𝐬𝐚 𝐏𝐀𝐍𝐆𝐈𝐍𝐎𝐎𝐍 𝐢𝐢𝐧𝐠𝐚𝐭𝐚𝐧 𝐤𝐚 𝐧𝐢𝐲𝐚 𝐝𝐚𝐡𝐢𝐥 𝐤𝐚𝐢𝐥𝐚𝐧𝐠𝐚𝐧 𝐤𝐚 𝐧𝐠 𝐦𝐠𝐚 𝐏𝐢𝐥𝐢𝐩𝐢𝐧𝐨 𝐩𝐚𝐫𝐚 𝐦𝐚𝐢𝐬𝐢𝐰𝐚𝐥𝐚𝐭 𝐥𝐚𝐡𝐚𝐭",𝐋𝐚𝐠𝐢 𝐩𝐨 𝐤𝐚𝐲𝐨𝐧𝐠 𝐦𝐚𝐠 𝐢𝐧𝐠𝐚𝐭 𝐦𝐚𝐠𝐝𝐚𝐬𝐚𝐥 𝐩𝐨 𝐤𝐚𝐲𝐨 𝐚𝐭 𝐡𝐮𝐦𝐢𝐧𝐠𝐢 𝐧𝐠 𝐩𝐚𝐭𝐚𝐰𝐚𝐝 𝐬𝐚 𝐏𝐀𝐍𝐆𝐈𝐍𝐎𝐎𝐍 𝐚𝐭 𝐡𝐮𝐦𝐢𝐧𝐠𝐢 𝐧𝐠 𝐩𝐫𝐨𝐭𝐞𝐜𝐭𝐢𝐨𝐧 𝐬𝐚 𝐏𝐀𝐍𝐆𝐈𝐍𝐎𝐎𝐍 𝐢𝐢𝐧𝐠𝐚𝐭𝐚𝐧 𝐤𝐚 𝐧𝐢𝐲𝐚 𝐝𝐚𝐡𝐢𝐥 𝐤𝐚𝐢𝐥𝐚𝐧𝐠𝐚𝐧 𝐤𝐚 𝐧𝐠 𝐦𝐠𝐚 𝐏𝐢𝐥𝐢𝐩𝐢𝐧𝐨 𝐩𝐚𝐫𝐚 𝐦𝐚𝐢𝐬𝐢𝐰𝐚𝐥𝐚𝐭 𝐥𝐚𝐡𝐚𝐭
"Sir mag excute ka ng Dying Declaration..para kung sakali man they will do the worst, valid and will stand in court pa rin ang testimony mu with all the evidence.",11/19/2025,"Sir, execute a Dying Declaration..so that just in case they will do the worst, your testimony will still be valid and will stand in court with all the evidence.",sir execute dying declarationso case worst testimony still valid stand court evidence
"Katulad ng mga palabas, pag di ka tumahimik, pamilya mo tutumbokin nila. Pag nahuli ka nila, ganun din pala, pamilya mo at ikaw ay tutudasin pareha. Wag antayin mangyari sayo yong mga palabas.",11/24/2025,"Just like the shows, if you don't keep quiet, they will beat up your family. If they catch you, it's the same, your family and you will be killed. Don't wait for those shows to happen to you.",like show dont keep quiet beat family catch family killed dont wait show happen
Mag live ka po at walang script na binabasa tapos ung mga pic hindi crop makikita ungbtime and date hindi edited maliban sa nag iba na mukha mo in real life ang boses mo pati ipin mo pati kilay lahat nag iiba na sayo para sa katotohanan po para walang makakaligtas at hindi maabswelto ang totoong may sala,11/19/2025,"Go live and no script is read, then the pics will not be cropped, ungbtime and date will not be edited except for the fact that your face is different in real life, your voice, your lips, and your eyebrows, everything is different from you for the truth so that no one can be saved and the real guilty cannot be absolved.",go live script read pic cropped ungbtime date edited except fact face different real life voice lip eyebrow everything different truth one saved real guilty cannot absolved
KEEP SAFE PO.,11/23/2025,KEEP SAFE PO.,keep safe po
Wg k mgbasa dpat gling s puso mo snsbi mo,11/19/2025,"Don't spread the word in your heart, you say",dont spread word heart say
Post mo na kasi lahat pati video at voice recorded,11/19/2025,"Post everything, including video and voice recorded",post everything including video voice recorded
Asan ka na po?,11/25/2025,where are you?,
Doble ingat kayo sir Zaldy at wag na wag muna kayo uuwi dahil delikado na buhay mo.,11/20/2025,Doubly careful sir Zaldy and don't go home because your life is dangerous.,doubly careful sir zaldy dont go home life dangerous
Nakumbinsi na sya ng anak nya,11/19/2025,His son has convinced him,son convinced
Yellow ano na,11/19/2025,"Yellow, what's up?",yellow whats
Isama mo rin magkano binayad sa mga General sa pagdakip Kay PRRD.,11/19/2025,Also include how much was paid to the Generals for arresting PRRD.,also include much paid general arresting prrd
"Pati po ang pagpapadala kay tatay digon sa the Hague at ang binayad nila sa impeachment ni vp sarah, para po malinis na po lahat at magprotectahan po kayo ng taong bayan naniniwala po kami para sa katutuhanan",11/19/2025,"As well as the sending of Father Digon to the Hague and what they paid for the impeachment of vp sarah, so that everything will be clean and you will protect the people of the country, we believe for the truth",well sending father digon hague paid impeachment vp sarah everything clean protect people country believe truth
"Sana ay imbitahan sina Amenah Pangandaman, Adrian Bersamin at Jojo Cadiz sa Senado para kanilang mapatunayan o mapasinungalingan ang alegasyon ng buwayang si Zaldy Co.",11/23/2025,"I hope that Amenah Pangandaman, Adrian Bersamin and Jojo Cadiz will be invited to the Senate so that they can prove or disprove the allegation of the crocodile Zaldy Co.",hope amenah pangandaman adrian bersamin jojo cadiz invited senate prove disprove allegation crocodile zaldy co
Maurag kaman palan mina kanta para sa ayam. uli na doy bako naman dagit si amo mo,11/19/2025,It turns out that you sing a lot for a dog. back that doy is not your boss,turn sing lot dog back doy bos
wala pa next update?,11/22/2025,no next update yet?,next update yet
PLSSSS PART 4.. UNBOXING NG MGA MALETA..,11/19/2025,PLSSSS PART 4.. UNBOXING THE SUITCASES..,plssss part 4 unboxing suitcase
The last man standing,11/20/2025,The last man standing,last man standing
Gagagan pakiramdam mo kasi magsasabi ka ng katotohanan,11/19/2025,You will feel better because you will tell the truth,feel better tell truth
Salamat sa pagsabi ng katotohanan,11/19/2025,Thanks for telling the truth,thanks telling truth
Si junior pala talaga ang utak ng insertion kung naniniwala lang tayo kay duterte noon hindi sana to mangyare,11/20/2025,"It turns out that junior is actually the mastermind behind the insertion, if we only believed in Duterte back then, it wouldn't have happened",turn junior actually mastermind behind insertion believed duterte back wouldnt happened
Fake video,11/19/2025,Fake video,fake video
Taragis sa dami mong pera nagpautos ka sa mga buaya,11/19/2025,"With all the money you have, you command the crocodiles",money command crocodile
"Ilabas mo lahat pati mga video pagdeliver ng Pera Lugar at Bahay nila, pati mga tawag nila Sayo voice recorder... Lahat lahat ng alam mo na ebedinsya habang dika pa nila nahuhuli... Naglabas ka rin namin lubusin mna sayang Ang Oras...",11/19/2025,"Release everything, including videos of money delivery, their places and houses, as well as their calls to you voice recorder... Everything you know is evidence while they are still catching... We also released you, let's waste time...",release everything including video money delivery place house well call voice recorder everything know evidence still catching also released let waste time
Naniwala ako saiyu boss.. sa wakas 90% malinaw narin kong sino ang ulo,11/19/2025,I believed in you boss.. finally I was 90% clear who was the boss,believed bos finally 90 clear bos
Sabihin mo ang totoo para naman sa kapakanan ng mamamayan.,11/19/2025,Tell the truth for the sake of the people.,tell truth sake people
Sir ikaw ang kawawa nilaglag kana nila binato nila lahat sayo ikaw makulong sila hindi kc hawak nila lahat binabaluktot nila ang batas,11/20/2025,"Sir, you're the poor thing, they dropped you, they threw everything at you, you're going to jail, they're not holding everything, they're bending the law",sir youre poor thing dropped threw everything youre going jail theyre holding everything theyre bending law
Pakibulgar po lahat ng sindikatong kasabwat sa gobyerno..... pangalanan nyo lahat pati mga heneral na protektor,11/19/2025,Please expose all the syndicates that are accomplices in the government..... name them all including the general protectors,please expose syndicate accomplice government name including general protector
Cong dipo ba kayo naawa sa mga pamilya mga anak mo Cong .. at sa mga nabaha niyong bagyong uwan ..,11/20/2025,"Cong, did you feel sorry for the families, your children Cong .. and those who were flooded by the rain storms ..",cong feel sorry family child cong flooded rain storm
Remulla brothers?,11/20/2025,Remulla brothers?,remulla brother
Waiting for part 4,11/19/2025,Waiting for part 4,waiting part 4
Para mapatunayan mo LAHAT sinasabi mo Iparinig mo din sa MASA ung usapan nyo Sa CP nila Romualdez siguradong may record nmn un para Wala na reklamo,11/19/2025,"In order for you to prove EVERYTHING you say, let the MASA also listen to your conversation. In Romualdez's CP, I'm sure they have a record so there will be no complaints.",order prove everything say let masa also listen conversation romualdezs cp im sure record complaint
sana po wag kang bumaliktad pag dating ng panahun na magka harap ang lahat .. sana manindigan ka nman para sa mga taong ninakawan ng walang kamalay malay at tinanggalan ng karapatang malaman ang totoo..,11/19/2025,I hope you don't turn your back when the time comes for everyone to face each other.. I hope you stand up for the people who were robbed knowingly and deprived of the right to know the truth..,hope dont turn back time come everyone face hope stand people robbed knowingly deprived right know truth
"Labas muna ebendinsya po co parang awa muna sa mga filipino maraming umasa sa pagsasabi mo ng totoo,ikaw nlng pag-asa ng filipino dahil ikaw lng ang nakaka alam salahat ng ginawa ngayon ng goberno",11/19/2025,"First of all, it's a blessing to the Filipinos, many people depended on you to tell the truth, you are the only hope of the Filipinos because you are the only one who knows everything the government has done today",first blessing filipino many people depended tell truth hope filipino one know everything government done today
Lodi,11/25/2025,Lodi,lodi
Lets say totoong may mga laman yang mga maletang sinasabi nya sa pictures..and lets say tama yung mga dates sa pictures..,11/19/2025,Lets say the suitcases he says in the pictures really have contents..and lets say the dates in the pictures are correct..,let say suitcase say picture really contentsand let say date picture correct
Magpalit ka nmn ng dmit mo,11/19/2025,Change your shirt,change shirt
Sir gumawa ka ng copy at secure mo lahat ng original soft at hard copy kay VP sara....,11/21/2025,Sir make a copy and secure all original soft and hard copies to VP sara....,sir make copy secure original soft hard copy vp sara
Salamat Lumantad narin malaking tulong to sa nga kababayan mo,11/19/2025,Thank you. This is a great help to your countryman,thank great help countryman
Need to include:… See more,11/19/2025,Need to include:… See more,need include see
ingat po kyo lagi tama yan ginawa nyo kanya nyo na lahat Sana makulong pinaka Hari ng nakawan,11/19/2025,"Be careful, that's always right. You did everything to him. I hope the King of Robbery goes to jail",careful thats always right everything hope king robbery go jail
Sabihin nila Auntie Kler AI.at mga duterte lang makinabang daw sa paglalahad ni ZC,11/19/2025,They say Auntie Kler AI.and only the Dutertes will benefit from ZC's presentation,say auntie kler aiand dutertes benefit zcs presentation
Ang Ganda Ang galing Ng tandim nyo at Ikaw Ngayon Gawin nilang,11/19/2025,"It's beautiful, how great your tandim and you are now",beautiful great tandim
impossible kung wala kayong mga videos,11/20/2025,impossible if you don't have videos,impossible dont video
Need to include:,11/19/2025,Need to include:,need include
dapat umuwi na po kayo para patunayan yang sinsabi nyo at para matapos na ang kaguluhan sa pinas,11/19/2025,You should go home to prove what you say and to end the chaos in the Philippines,go home prove say end chaos philippine
Naway kunin kau ni Enrile… pareho kau mga corrupt!,11/19/2025,May Enrile take you... you are both corrupt!,may enrile take corrupt
co di daw kayo close ni bbm sabi ni ante claire,11/19/2025,ante claire said you are not close to bbm,ante claire said close bbm
detalyado,11/19/2025,detailed,detailed
Sir hero ka namen Basta mg Sabi kalang Ng totoo..engat ka Jan sir pray kalang Ng panginoo,11/19/2025,"Sir, you are our hero, as long as you say the truth",sir hero long say truth
Ingat po wag kang omowi baka papataying ka,11/25/2025,Take care don't be afraid.,take care dont afraid
Sana lumabas kana magpakita ka sa knila at ipakita mo at sasabihin mo lahat ng katotohanan..,11/23/2025,"I hope you come out, show them and show them and tell them all the truth..",hope come show show tell truth
Ai po Yan hahhahah,11/19/2025,Give you a father,give father
